Course Name,Strong Match Count,Strong-High Match Count,Average Similarity,Weighted Mean Salary,Rank Average Similarity,Rank Strong-High Match Count,Rank Strong Match Count,Rank Weighted Mean Salary,Combined Rank,Is Core
CIS 4951,393,319,0.4451062249929406,137100.32484417205,1.0,1.0,1.0,1.0,1.0,4.0
CIS 4911,390,318,0.43526682839837183,134119.28908964896,3.0,2.0,2.0,2.0,2.25,
CEN 4012,360,292,0.43646656255735905,133930.2578435206,2.0,4.0,4.0,3.0,3.25,
CTS 4743,369,299,0.41734317090622214,128151.94085920518,4.0,3.0,3.0,4.0,3.5,
CIS 3950,348,287,0.4041272211733252,125199.58231939952,6.0,6.5,7.0,6.0,6.375,3.0
COP 4516,356,290,0.4014724835406902,124263.05884584252,8.0,5.0,5.0,8.0,6.5,
CEN 5011,347,278,0.4092336857388186,126017.60645711471,5.0,8.0,8.0,5.0,6.5,
CEN 5120,355,287,0.4036210884881574,125129.34808223291,7.0,6.5,6.0,7.0,6.625,
CIS 5027,325,263,0.3850610292754894,118429.32117584694,11.0,9.0,9.0,11.0,10.0,
CGS 2260,314,254,0.38585929402778313,118943.24172756293,10.0,10.0,10.0,10.0,10.0,
CEN 4021,298,239,0.3884533915408822,119622.24303979613,9.0,12.0,12.0,9.0,10.5,
CEN 5064,303,244,0.3800212454657222,116751.28252201123,12.0,11.0,11.0,12.0,11.5,
TCN 5060,292,236,0.37780082589665126,115798.16252012612,13.0,13.0,13.0,13.0,13.0,
CEN 3721,285,231,0.3664522496593553,113483.4172140939,17.0,14.0,14.0,15.0,15.0,
COP 4005,278,223,0.37139764674181164,114044.7914385567,14.0,15.5,16.5,14.0,15.0,
CAP 4783,283,223,0.36971657567246013,113132.56224937066,15.0,15.5,15.0,16.0,15.375,
COP 4814,275,220,0.3663692563425663,112096.15636210419,18.0,17.0,18.0,18.0,17.75,
CGS 4854,278,216,0.3677453374620094,111367.07385193623,16.0,19.0,16.5,21.0,18.125,
IDS 4918,265,208,0.3650762839372768,112560.36146416163,19.0,22.0,19.0,17.0,19.25,
CAP 5627,257,218,0.3580749026607982,111858.41715833476,23.0,18.0,23.0,20.0,21.0,
CAP 5109,262,215,0.3571274346043897,110662.3893213527,25.0,20.0,20.5,24.0,22.375,
IDS 3917,253,205,0.3606915375174478,111943.54934589304,20.0,24.5,26.0,19.0,22.375,
COP 3949,259,207,0.358987296389979,110995.44757519418,22.0,23.0,22.0,23.0,22.5,
TCN 5440,262,212,0.3565851151596668,109584.96349262272,26.0,21.0,20.5,25.0,23.125,
IDS 2916,256,203,0.3597732653104982,111145.36934406447,21.0,26.0,24.0,22.0,23.25,
CNT 4504,254,205,0.3573353566402613,109487.25145478899,24.0,24.5,25.0,26.0,24.875,
TCN 5640,238,196,0.35428952924733936,108580.38569211401,27.0,27.0,27.0,27.0,27.0,
CIS 5931,229,181,0.3464484221366949,106737.50899833372,29.0,29.0,29.0,29.0,29.0,
CIS 4930,229,181,0.3464484221366949,106737.50899833372,29.0,29.0,29.0,29.0,29.0,
CIS 3930,229,181,0.3464484221366949,106737.50899833372,29.0,29.0,29.0,29.0,29.0,
COP 4949,213,170,0.34309030771255494,106181.67897369688,31.0,31.0,31.0,31.0,31.0,
COT 5443,208,165,0.3415593513222628,105692.40516147381,32.0,33.0,33.0,32.0,32.5,
COP 2210,207,159,0.3382607038977534,103699.4655512793,33.0,35.0,34.5,33.0,33.875,1.0
CAP 4104,207,168,0.3354277380330618,103268.76883962566,34.0,32.0,34.5,35.0,33.875,
CGS 2100,210,163,0.3350031871435254,102410.93395918413,35.0,34.0,32.0,37.0,34.5,
IDC 4012C,195,157,0.3304153508398422,102448.01266767603,38.0,36.0,36.0,36.0,36.5,
TCN 5030,164,136,0.33288172894092494,103277.02965923348,36.0,38.5,39.0,34.0,36.875,
COP 4655,191,153,0.33101027597521626,101324.01245373093,37.0,37.0,37.0,38.0,37.25,
COP 4710,163,132,0.32373965632083807,98715.4904936305,40.0,42.5,40.5,42.0,41.25,
CAP 4052,163,132,0.3236310625925314,99964.39768706723,41.0,42.5,40.5,41.0,41.25,
CAP 5738,162,133,0.3233919104517892,100208.60117851011,42.0,40.5,42.5,40.0,41.25,
IDC 4011C,168,133,0.3181340187441471,98488.48799972072,45.0,40.5,38.0,43.0,41.625,
CNT 4182,158,128,0.3274191989455112,101221.70743543847,39.0,45.0,45.0,39.0,42.0,
CGS 2518,162,136,0.31996656820004765,98097.87559440586,43.0,38.5,42.5,46.0,42.5,
CDA 3103,159,131,0.31826835037317386,98286.48717771533,44.0,44.0,44.0,44.0,44.0,
CGS 2060,145,122,0.31407832957284393,96176.00755858544,49.0,46.5,49.0,51.0,48.875,
COP 3175,143,115,0.3168092952737975,97407.64631298733,46.0,50.5,51.5,48.0,49.0,
CGS 1920,148,117,0.31333430918843247,95874.94635715074,50.0,48.0,46.0,53.0,49.25,0.0
