Course Name,Strong Match Count,Strong-High Match Count,Average Similarity,Weighted Mean Salary,Rank Average Similarity,Rank Strong-High Match Count,Rank Strong Match Count,Rank Weighted Mean Salary,Combined Rank,Is Core
CIS 4951,393,319,0.44628376243419426,137101.11483426997,1.0,1.0,1.0,1.0,1.0,4.0
CIS 4911,390,318,0.43640488840119784,134115.5698669445,3.0,2.0,2.0,2.0,2.25,
CEN 4012,361,293,0.43773453949495805,133967.26974480256,2.0,4.0,4.0,3.0,3.25,
CTS 4743,369,299,0.4185532928552739,128185.86493206496,4.0,3.0,3.0,4.0,3.5,
CIS 3950,348,287,0.40511779695056205,125173.07098149625,6.0,6.0,7.0,6.0,6.25,3.0
COP 4516,356,290,0.4022997315193331,124189.85453910292,8.0,5.0,5.0,8.0,6.5,
CEN 5011,347,278,0.4105636050534803,126094.38348555434,5.0,8.0,8.0,5.0,6.5,
CEN 5120,354,286,0.404610422184301,125104.05908524926,7.0,7.0,6.0,7.0,6.75,
CIS 5027,327,265,0.38651048000468763,118564.21856888251,11.0,9.0,9.0,11.0,10.0,
CGS 2260,315,255,0.3871478901699532,119026.08964443064,10.0,10.0,10.0,10.0,10.0,
CEN 4021,298,239,0.3894816691099211,119621.95436211932,9.0,12.0,12.0,9.0,10.5,
CEN 5064,304,245,0.38147708401083946,116892.2426384361,12.0,11.0,11.0,12.0,11.5,
TCN 5060,292,236,0.3792596227554388,115942.18746175115,13.0,13.0,13.0,13.0,13.0,
COP 4005,278,223,0.372544064355451,114095.98176393737,14.0,15.5,16.5,14.0,15.0,
CEN 3721,285,231,0.36774801194321277,113583.74257993967,18.0,14.0,14.0,15.0,15.25,
CAP 4783,283,223,0.3707799561495005,113162.25628812615,15.0,15.5,15.0,16.0,15.375,
COP 4814,277,222,0.36796110405824906,112291.49322558007,17.0,17.0,18.0,18.0,17.5,
CGS 4854,278,216,0.3693329140890476,111562.81743675697,16.0,19.0,16.5,21.0,18.125,
IDS 4918,263,208,0.365669424381367,112444.0807991303,19.0,22.0,19.0,17.0,19.25,
CAP 5627,257,218,0.35911321827253806,111883.5005841468,23.0,18.0,23.0,19.0,20.75,
COP 3949,259,207,0.36003736995680385,111026.23366417341,22.0,23.0,22.0,22.0,22.25,
CAP 5109,262,215,0.3583646929021492,110751.86245906609,25.0,20.0,20.5,24.0,22.375,
IDS 3917,252,204,0.3613697623097619,111854.81744071055,20.0,25.0,26.0,20.0,22.75,
TCN 5440,262,212,0.3577743812702423,109662.24879431221,26.0,21.0,20.5,25.0,23.125,
IDS 2916,256,203,0.36033627214126807,111023.40416873634,21.0,26.0,24.0,23.0,23.5,
CNT 4504,255,206,0.35849485418131183,109555.91455149077,24.0,24.0,25.0,26.0,24.75,
TCN 5640,238,196,0.35528791941875637,108600.13606951752,27.0,27.0,27.0,27.0,27.0,
CIS 3930,229,181,0.34737905541131664,106742.18077293051,29.0,29.0,29.0,29.0,29.0,
CIS 5931,229,181,0.34737905541131664,106742.18077293051,29.0,29.0,29.0,29.0,29.0,
CIS 4930,229,181,0.34737905541131664,106742.18077293051,29.0,29.0,29.0,29.0,29.0,
COP 4949,211,168,0.34415632164062454,106230.08272570367,31.0,31.5,31.0,31.0,31.125,
COT 5443,207,164,0.34256396654040316,105723.16834295727,32.0,33.0,33.5,32.0,32.625,
CAP 4104,207,168,0.3368458810587262,103433.39949663058,34.0,31.5,33.5,34.0,33.25,
COP 2210,206,158,0.33930409739530365,103746.78998207855,33.0,35.0,35.0,33.0,34.0,1.0
CGS 2100,210,163,0.336325859399729,102548.04574720332,35.0,34.0,32.0,36.0,34.25,
IDC 4012C,195,157,0.3314417944571307,102493.19956431529,38.0,36.0,36.0,37.0,36.75,
COP 4655,193,155,0.33226927510181137,101444.83952613821,37.0,37.0,37.0,38.0,37.25,
TCN 5030,163,135,0.3336733124803665,103248.19295057774,36.0,39.0,41.0,35.0,37.75,
COP 4710,163,132,0.32473958754955334,98763.41857327824,40.0,42.0,41.0,42.0,41.25,
CAP 5738,162,133,0.3244116649031639,100257.69915065359,42.0,40.0,43.0,40.0,41.25,
CGS 2518,164,137,0.3212837811732708,98244.47077857818,43.0,38.0,39.0,45.0,41.25,
CAP 4052,163,132,0.32454881273903124,99983.84145002447,41.0,42.0,41.0,41.0,41.25,
IDC 4011C,167,132,0.318986687531998,98492.18094987007,45.0,42.0,38.0,43.0,42.0,
CNT 4182,157,128,0.32839152854542397,101254.6638561781,39.0,45.0,45.0,39.0,42.0,
CDA 3103,159,131,0.319411290211733,98378.74194631547,44.0,44.0,44.0,44.0,44.0,
COP 3175,144,115,0.3182416702425757,97591.97436351885,46.0,50.0,51.0,48.0,48.75,
CGS 2060,145,122,0.31536275974886363,96318.08414005981,49.0,47.0,49.0,51.0,49.0,
COP 2270,144,123,0.31255275444235914,96617.58346767456,51.0,46.0,51.0,49.0,49.25,
CGS 1920,148,117,0.31440350881149604,95952.19144672659,50.0,48.0,46.0,53.0,49.25,0.0
COT 4450,146,115,0.31225590005863546,96178.72595545425,52.0,50.0,47.5,52.0,50.375,
CIS 5373,132,112,0.3172208725539751,98190.14936964758,47.0,53.0,55.5,47.0,50.625,
COP 4555,146,115,0.31071178123008375,95006.29047650863,54.0,50.0,47.5,56.0,51.875,4.0
CAP 5602,132,113,0.30775558932056263,95908.60581014783,58.0,52.0,55.5,54.0,54.875,
CAP 4612C,119,96,0.31650756827967114,98240.02009911372,48.0,63.0,63.0,46.0,55.0,
COP 4751,134,110,0.3103029328030209,94583.51088982317,55.0,54.0,54.0,58.0,55.25,
CIS 1940,123,105,0.3076590636961682,96456.96956304961,59.0,59.0,61.0,50.0,57.25,
COT 3510,127,105,0.3082014296290486,95772.39141048785,57.0,59.0,60.0,55.0,57.75,
CAP 5011,129,105,0.30914489481338236,94050.5731611778,56.0,59.0,57.5,60.0,58.125,
CGS 3416,128,93,0.31180129030416176,94540.2452145214,53.0,65.0,59.0,59.0,59.0,
CDA 3102,129,109,0.3034446631406629,93925.84809906197,62.0,55.5,57.5,61.0,59.0,3.0
CEN 5076,137,109,0.30044301532772044,91581.76546172208,65.0,55.5,53.0,68.0,60.375,
CGS 1540,121,98,0.3065921330521273,93413.10016280829,60.0,61.5,62.0,63.0,61.625,
CNT 4603,144,108,0.30202482346185416,90568.2248645627,64.0,57.0,51.0,75.0,61.75,
CAP 4630,103,88,0.3033751684739146,94729.56137491298,63.0,66.0,68.0,57.0,63.5,
CDA 4101,113,98,0.29975265716744026,92713.88305856028,67.0,61.5,65.0,64.0,64.375,
COP 5949,117,85,0.3041948609400627,91949.19872217147,61.0,67.0,64.0,66.0,64.5,
COP 3804,100,74,0.30026703126901805,91636.58290047898,66.0,72.5,70.0,67.0,68.875,
IDC 4010C,108,84,0.2941439523426599,90851.45295877641,72.0,68.0,67.0,71.0,69.5,
COP 5614,112,94,0.29371097994058626,89897.55926820487,75.0,64.0,66.0,77.0,70.5,
COP 2250,102,78,0.2976720241266627,90675.29104810339,69.0,70.5,69.0,74.0,70.625,
COP 3835,97,78,0.2964277180366564,91030.53113047204,71.0,70.5,72.0,69.0,70.625,
COT 5432,86,71,0.29760871498390684,92523.01276695039,70.0,75.5,76.0,65.0,71.625,
CAP 2750,79,70,0.29918557466116064,93894.76464713234,68.0,78.5,78.0,62.0,71.625,
CAP 5768,98,74,0.2941218751980815,90267.26962247974,73.0,72.5,71.0,76.0,73.125,
COP 4906,70,62,0.29405663696139356,90880.19866222226,74.0,81.0,82.0,70.0,76.75,
CTS 4408,95,79,0.28642911349618155,86759.71035229576,80.0,69.0,73.0,87.0,77.25,
CDA 4400,87,71,0.2862663663403932,88223.08160234928,81.0,75.5,74.5,80.0,77.75,
CIS 4731,68,63,0.29309840401591253,90850.88190831877,77.0,80.0,84.0,72.0,78.25,
CDA 5655,67,60,0.29350807138307144,90843.24770865147,76.0,82.5,87.5,73.0,79.75,
CEN 4010,77,71,0.283413432997673,88152.09980612212,84.0,75.5,79.0,82.0,80.125,3.0
CTS 2327,71,59,0.28784665101489354,88165.51975889184,78.0,84.0,81.0,81.0,81.0,
COT 3541,73,60,0.2817221702877865,86981.4914498869,86.0,82.5,80.0,85.0,83.375,
CGS 4285,67,56,0.28686833407643225,87976.25383224411,79.0,86.5,87.5,83.0,84.0,
CAP 4506,62,55,0.28577233403921126,88613.5629589686,82.0,89.5,91.0,79.0,85.375,
CEN 5079,83,70,0.27801501737084494,85079.1283457976,92.0,78.5,77.0,95.0,85.625,
